Student number,Student age,Average hours spent studying,Student mark achieved,Time taken on examination (minutes)
1,48,5,74,160
2,51,3,71,114
3,38,2,20,105
4,19,1,61,158
5,34,1,107,146
6,34,5,54,113
7,28,3,118,109
8,39,1,73,101
9,35,3,25,157
10,39,1,104,118
11,41,5,115,140
12,21,1,44,175
13,22,2,104,107
14,41,1,78,148
15,23,4,130,146
16,25,5,115,97
17,36,2,48,122
18,24,2,63,180
19,20,4,107,168
20,46,1,75,148
21,51,1,63,163
22,21,5,30,180
23,39,1,107,92
24,53,1,122,174
25,18,5,122,112
26,58,4,104,107
27,30,3,49,122
28,22,2,37,134
29,52,1,117,143
30,32,3,93,118
31,35,4,104,139
32,58,5,21,161
33,47,3,61,168
34,21,1,105,164
35,19,2,57,131
36,45,1,58,180
37,24,2,20,105
38,32,5,51,142
39,20,4,53,117
40,60,4,87,126
41,38,2,97,163
42,19,5,129,176
43,37,1,64,171
44,25,1,50,166
45,30,3,98,154
46,20,3,64,146
47,23,3,23,101
48,32,3,117,96
49,45,4,8,140
50,30,4,68,126
51,30,1,26,131
52,37,5,4,157
53,59,2,109,156
54,59,3,67,101
55,21,1,129,123
56,57,5,75,154
57,40,5,41,157
58,27,1,87,120
59,57,1,11,99
60,29,2,120,103
61,23,1,113,126
62,41,4,69,180
63,50,2,60,157
64,20,5,91,95
65,34,4,67,124
66,58,1,17,132
67,35,2,30,169
68,38,3,25,127
69,35,3,59,163
70,51,4,35,95
71,18,5,18,167
72,19,2,25,172
73,18,4,8,101
74,20,2,48,159
75,43,1,82,169
76,47,3,97,163
77,28,4,38,125
78,28,3,70,140
79,27,1,73,162
80,31,3,11,114
81,32,2,50,155
82,23,1,102,90
83,24,1,46,174
84,48,5,13,120
85,45,4,42,136
86,25,1,39,139
87,30,3,40,138
88,38,1,28,116
89,19,5,51,121
90,25,2,94,162
91,58,5,82,130
92,37,4,60,169
93,40,2,79,120
94,32,4,92,120
95,25,2,97,167
96,30,1,116,111
97,37,1,28,99
98,35,5,25,174
99,28,3,25,131
100,25,1,64,118
101,30,5,54,94
102,28,4,116,151
103,29,4,42,161
104,57,4,78,143
105,49,3,40,156
106,40,2,86,110
107,52,1,20,105
108,46,2,47,138
109,22,3,23,97
110,22,3,4,90
111,45,2,15,174
112,39,5,128,102
113,53,1,122,114
114,30,4,39,134
115,23,3,41,113
116,22,3,72,118
117,60,1,109,123
118,27,5,57,127
119,23,1,88,142
120,56,1,4,122
121,45,3,120,143
122,24,4,7,127
123,18,5,27,157
124,42,1,31,126
125,46,5,22,110
126,58,5,15,142
127,19,5,108,143
128,45,2,72,169
129,53,4,100,125
130,25,5,120,107
131,48,1,30,172
132,19,3,105,141
133,48,5,5,120
134,59,4,104,144
135,35,4,0,152
136,47,4,99,168
137,32,3,106,138
138,43,1,102,172
139,45,2,124,104
140,29,4,125,147
141,30,2,95,149
142,56,1,35,112
143,29,2,127,163
144,35,5,4,133
145,50,5,45,106
146,43,4,75,108
147,24,3,32,173
148,40,1,51,117
149,32,4,26,174
150,27,2,122,161
